113,30,1
124,30,1
112,28,2
15,28,2
50,28,2
83,28,2
126,26,3
128,26,3
180,26,3
110,24,4
127,24,4
13,24,4
156,24,4
161,24,4
31,24,4
91,24,4
175,22,5
25,22,5
65,22,5
106,20,6
153,20,6
216,20,6
30,20,6
3,20,6
63,20,6
103,18,7
121,18,7
170,18,7
222,18,7
23,18,7
39,18,7
115,16,8
12,16,8
158,16,8
211,16,8
21,16,8
228,16,8
24,16,8
36,16,8
41,16,8
43,16,8
53,16,8
85,16,8
118,14,9
178,14,9
33,14,9
35,14,9
37,14,9
38,14,9
57,14,9
78,14,9
84,14,9
88,14,9
92,14,9
1051,12,10
134,12,10
137,12,10
176,12,10
22,12,10
225,12,10
232,12,10
48,12,10
81,12,10
8,12,10
123,10,11
140,10,11
142,10,11
144,10,11
18,10,11
200,10,11
20,10,11
207,10,11
218,10,11
238,10,11
241,10,11
45,10,11
51,10,11
56,10,11
6,10,11
98,10,11
10,8,12
114,8,12
145,8,12
14,8,12
189,8,12
19,8,12
219,8,12
230,8,12
34,8,12
52,8,12
7,8,12
79,8,12
99,8,12
100,6,13
104,6,13
116,6,13
120,6,13
122,6,13
141,6,13
159,6,13
167,6,13
179,6,13
181,6,13
182,6,13
190,6,13
226,6,13
235,6,13
242,6,13
2,6,13
46,6,13
49,6,13
5,6,13
59,6,13
69,6,13
93,6,13
95,6,13
102,4,14
150,4,14
162,4,14
163,4,14
16,4,14
172,4,14
177,4,14
185,4,14
193,4,14
220,4,14
237,4,14
243,4,14
28,4,14
44,4,14
67,4,14
68,4,14
71,4,14
74,4,14
89,4,14
9,4,14
Vip,4,14
108,2,15
111,2,15
11,2,15
130,2,15
17,2,15
183,2,15
184,2,15
186,2,15
212,2,15
42,2,15
4341,2,15
75,2,15
86,2,15
0,0,16
1,0,16
101,0,16
138,0,16
174,0,16
187,0,16
197,0,16
4,0,16
40,0,16
64,0,16
66,0,16
70,0,16
72,0,16
76,0,16
94,0,16
96,0,16
