92,161,2012,Nissan,370z,84,2,0,24,0,2,6
93,156,2014,Volkswagen,Gli,56,0,0,24,0,0,4
94,153,2017,Subaru,Brz,42,0,0,20,0,0,2
95,170,2014,Chevy,Cruze,50,0,0,18,0,0,4
96,121,2012,Acura,TL,44,2,0,18,0,0,4
97,158,2007,Nissan,350z,64,2,0,16,0,2,6
98,24,2013,Subaru,BRZ,32,2,0,16,0,2,2
99,33,2015,Subaru,Sti,68,2,0,14,0,4,4
100,118,1993,Honda,Civic,44,2,0,14,0,4,4
101,8,1991,Nissan,Skyline,44,2,0,12,0,2,4
102,81,2016,Volkswagen,GTI,24,2,0,12,0,2,0
103,176,2014,Mitsu,Lancer,40,0,0,12,0,0,4
104,98,2012,Mercedes,C63,26,2,0,10,0,0,2
105,238,1982,Volkswagen,Rabbit,28,0,0,10,0,0,2
106,19,2001,Mitsu,Evo7,40,2,0,8,0,2,2
107,10,2001,Nissan,S15,34,2,0,8,0,2,2
108,34,2010,Honda,Fit,18,0,0,8,0,2,0
109,99,2014,Honda,Civic si,38,2,0,8,0,0,4
110,7,2014,Nissan,Sentra,30,2,0,8,0,0,4
111,79,1993,Mazda,Miata,18,0,0,8,0,0,2
112,14,1990,Nissan,Skyline,26,2,0,8,0,0,2
113,114,2010,Volkswagen,Gti,26,0,0,8,0,0,2
114,182,2012,Volkswagen,Cc,20,2,0,6,0,2,2
115,179,2004,Volkswagen,R32,38,4,0,6,0,2,2
116,120,2014,Ford,Focus st,30,2,0,6,0,2,2
117,235,2013,Scion,Frs,20,0,0,6,0,0,2
118,2,2016,Bmw,M2,24,0,0,6,0,0,2
119,181,2003,Volkswagen,Gti,30,2,0,6,0,0,2
120,167,2016,Ford,Mystang,20,2,0,6,0,0,2
121,141,1993,Mazda,Miata,26,0,0,6,0,0,2
122,95,2004,Infiniti,G35,12,0,0,6,0,0,0
123,69,2018,Subaru,WRX,8,0,0,6,0,0,0
124,226,2008,Honda,Accord,18,0,0,6,0,0,0
125,190,1995,Lexus,Sc300,10,0,0,6,0,0,0
126,159,2013,Hyundai,Gen coupe,14,0,0,6,0,0,0
127,100,2006,Volvo,S60r,22,2,0,6,0,0,0
128,172,2014,Bmw,4,22,0,0,4,0,6,0
129,9,1996,Nissan,240,44,4,0,4,0,4,4
130,74,2015,Honda,Accord,8,0,0,4,0,0,2
131,68,2013,Nissan,Altima,10,0,0,4,0,0,2
132,67,2015,Subaru,Sti,14,0,0,4,0,0,2
133,177,2005,Volkswagen,Jetta gli,12,0,0,4,0,0,2
134,163,2013,Mitsu,Ralliart,22,2,0,4,0,0,2
135,162,2014,Nissan,370z,36,0,0,4,0,0,2
136,150,2006,Nissan,350z,22,0,0,4,0,0,2
137,102,2015,Honda,Accord,10,0,0,4,0,0,2
138,71,2008,Acura,TL,6,0,0,4,0,0,0
139,28,1995,Bmw,318xi,8,0,0,4,0,0,0
140,243,2008,Toyota,Matrix,10,0,0,4,0,0,0
141,237,1987,Volkswagen,Jetta,10,0,0,4,0,0,0
142,185,2013,Volkswagen,Jett,8,0,0,4,0,0,0
143,16,2008,Nissan,350z,10,0,0,4,0,0,0
144,186,2012,Volkswagen,Gli,14,0,0,2,0,6,0
145,4341,1992,Nissan,Rps13,32,2,0,2,0,2,2
