13,630
237,630
113,626
106,620
122,612
24,610
64,610
235,608
110,606
126,606
142,606
144,606
190,606
34,606
9,602
11,592
86,592
94,588
193,586
3,586
118,570
138,570
174,570
242,570
84,566
1051,554
121,548
186,548
211,548
4,548
45,548
72,548
6,546
81,540
182,536
225,536
158,532
91,528
172,520
112,516
100,512
187,506
69,506
17,500
141,494
78,494
103,492
150,492
197,492
74,492
180,490
162,486
185,482
219,482
28,476
49,476
46,472
38,470
18,464
31,460
71,460
128,446
238,446
40,446
22,428
226,428
70,428
93,428
52,426
137,420
212,420
116,410
41,410
114,406
241,404
53,404
163,396
50,392
56,378
76,374
115,370
153,370
175,370
33,362
75,362
230,354
57,354
123,338
19,330
44,324
156,320
220,320
4341,320
35,314
79,314
63,312
179,308
92,296
65,294
15,288
96,276
Vip,274
232,268
12,262
130,258
98,256
108,252
120,242
85,242
104,236
127,230
134,226
176,216
25,216
88,210
0,208
181,208
16,204
83,202
42,190
59,190
23,186
2,184
200,182
21,182
101,176
184,176
243,176
37,176
66,176
161,170
140,166
111,158
189,154
36,152
102,142
145,142
8,136
14,130
7,124
228,120
89,106
95,106
99,104
216,100
170,84
43,84
67,82
10,80
39,78
68,78
218,72
5,60
177,54
183,54
51,50
1,44
30,42
178,38
20,32
159,26
167,24
207,20
124,16
222,16
48,4
