Rank,Car_ID,Year,Make,Model,Total,Racer,Engine,BodyFrame,Mods,Car_Overall,Mods_Overall
52,23,1998,Subaru,Legacy,62,2,10,18,22,4,6
53,115,2001,Honda,Crv,56,0,10,16,26,0,4
54,53,2013,Subaru,WRX,60,8,10,16,20,2,4
55,88,2008,Honda,Accord,48,2,10,14,16,2,4
56,51,2015,Subaru,WRX,50,6,10,10,20,2,2
57,45,2006,Acura,TL,42,0,10,10,18,2,2
58,56,2009,Volkswagen,Jetta,42,4,10,10,14,2,2
59,207,1993,Honda,Civic eG,40,4,10,10,14,2,0
60,140,1995,Mitsu,Evo8,44,8,10,10,14,2,0
61,189,2012,Toyota,Fj cruiser,50,2,10,8,26,2,2
62,52,2007,Mazda,Speed 3,48,6,10,8,20,2,2
63,116,2008,Audi,A4,28,0,10,6,6,2,4
64,153,2017,Subaru,Brz,42,0,8,20,12,0,2
65,142,1993,Toyota,Supra,58,4,8,10,26,4,6
66,122,2011,Infiniti,M37s,44,2,8,6,24,0,4
67,46,2008,Volkswagen,R32,32,2,8,6,14,2,0
68,59,2012,Volkswagen,Golf,28,4,8,6,8,2,0
69,100,2006,Volvo,S60r,22,6,8,6,2,0,0
70,9,1996,Nissan,240,44,10,8,4,14,4,4
71,17,2016,Mercedes,C43,34,6,8,2,16,0,2
72,78,2015,Mazda,6,36,2,6,14,12,2,0
73,92,2017,Hyundai,Elantra sport,30,2,6,14,8,0,0
74,232,2018,Subaru,WRX,46,6,6,12,18,4,0
75,200,2016,Subaru,WRX,36,0,6,10,16,2,2
76,98,2012,Mercedes,C63,26,4,6,10,4,0,2
77,99,2014,Honda,Civic si,38,4,6,8,16,0,4
78,145,1990,Volkswagen,Gti,38,6,6,8,14,2,2
79,10,2001,Nissan,S15,34,2,6,8,14,2,2
80,219,2016,Ford,Focus rs,26,6,6,8,4,2,0
81,5,2003,Acura,Rsx,50,6,6,6,24,4,4
82,242,2014,Nissan,Maxima,26,0,6,6,12,0,2
83,162,2014,Nissan,370z,36,4,6,4,20,0,2
84,172,2014,Bmw,4,22,4,6,4,2,6,0
85,237,1987,Volkswagen,Jetta,10,0,6,4,0,0,0
86,4341,1992,Nissan,Rps13,32,6,6,2,14,2,2
87,158,2007,Nissan,350z,64,4,4,16,32,2,6
88,118,1993,Honda,Civic,44,4,4,14,14,4,4
89,225,2016,Acura,TLX,52,0,4,12,32,0,4
90,Showcar,2014,Nissan,Gtr,44,6,4,12,18,,4
91,8,1991,Nissan,Skyline,44,6,4,12,16,2,4
92,20,2009,Infiniti,G37,38,6,4,10,16,0,2
93,144,2016,Volkswagen,Gti,28,0,4,10,12,0,2
94,241,2007,Toyota,Camry,24,0,4,10,8,0,2
95,114,2010,Volkswagen,Gti,26,2,4,8,10,0,2
96,230,2004,Acura,Tsx,20,0,4,8,6,0,2
97,14,1990,Nissan,Skyline,26,6,4,8,6,0,2
98,181,2003,Volkswagen,Gti,30,4,4,6,14,0,2
99,120,2014,Ford,Focus st,30,6,4,6,10,2,2
100,167,2016,Ford,Mystang,20,4,4,6,4,0,2
101,150,2006,Nissan,350z,22,0,4,4,12,0,2
102,163,2013,Mitsu,Ralliart,22,4,4,4,8,0,2
103,193,2014,Nissan,Ssntra,14,0,4,4,4,0,2
104,177,2005,Volkswagen,Jetta gli,12,0,4,4,2,0,2
105,Vip,2008,Volkswagen,Gli,16,6,4,4,0,2,0
106,11,1991,Nissan,Skyline,30,4,4,2,16,2,2
107,130,2016,Honda,Civic si,24,2,4,2,16,0,0
108,183,2005,Volkswagen,Jetta,16,4,4,2,4,0,2
109,86,1996,Volkswagen,Jetta,8,0,4,2,2,0,0
110,184,2010,Volkswagen,Cc,8,0,4,2,2,0,0
111,187,2007,Subaru,Legacy,26,6,4,0,12,2,2
112,138,1990,Mazda,Miata,10,0,4,0,6,0,0
113,85,2017,Honda,Accord,42,0,2,16,20,0,4
114,24,2013,Subaru,BRZ,32,2,2,16,8,2,2
115,176,2014,Mitsu,Lancer,40,0,2,12,22,0,4
116,22,2007,Honda,Civic,24,0,2,12,6,2,2
117,18,2015,Audi,S3,38,4,2,10,18,2,2
118,238,1982,Volkswagen,Rabbit,28,0,2,10,14,0,2
119,19,2001,Mitsu,Evo7,40,6,2,8,20,2,2
120,7,2014,Nissan,Sentra,30,4,2,8,12,0,4
121,2,2016,Bmw,M2,24,2,2,6,12,0,2
122,93,2005,Acura,TL,22,2,2,6,10,2,0
123,235,2013,Scion,Frs,20,2,2,6,8,0,2
124,182,2012,Volkswagen,Cc,20,4,2,6,4,2,2
125,159,2013,Hyundai,Gen coupe,14,2,2,6,4,0,0
126,89,2014,Honda,Civic si,16,2,2,4,6,0,2
127,220,2004,Audi,A4,14,0,2,4,6,0,2
128,67,2015,Subaru,Sti,14,2,2,4,4,0,2
129,16,2008,Nissan,350z,10,2,2,4,2,0,0
130,186,2012,Volkswagen,Gli,14,0,2,2,4,6,0
131,42,2001,Dodge,Viper,8,0,2,2,2,2,0
132,75,2012,Subaru,WRX,6,0,2,2,2,0,0
133,4,2007,Honda,Civic,14,0,2,0,12,0,0
134,76,2005,Subaru,Sti,12,4,2,0,4,2,0
135,96,2017,Volkswagen,Gti,10,2,2,0,4,0,2
136,66,2010,Volkswagen,Gti,4,0,2,0,2,0,0
137,174,2006,Acura,Rsx,4,0,2,0,2,0,0
138,156,2014,Volkswagen,Gli,56,0,0,24,28,0,4
139,170,2014,Chevy,Cruze,50,0,0,18,28,0,4
140,121,2012,Acura,TL,44,2,0,18,20,0,4
141,81,2016,Volkswagen,GTI,24,4,0,12,6,2,0
142,34,2010,Honda,Fit,18,0,0,8,8,2,0
143,79,1993,Mazda,Miata,18,0,0,8,8,0,2
144,141,1993,Mazda,Miata,26,0,0,6,18,0,2
145,226,2008,Honda,Accord,18,0,0,6,12,0,0
146,95,2004,Infiniti,G35,12,0,0,6,6,0,0
147,190,1995,Lexus,Sc300,10,0,0,6,4,0,0
148,69,2018,Subaru,WRX,8,0,0,6,2,0,0
149,243,2008,Toyota,Matrix,10,0,0,4,6,0,0
150,68,2013,Nissan,Altima,10,0,0,4,4,0,2
151,102,2015,Honda,Accord,10,0,0,4,4,0,2
152,28,1995,Bmw,318xi,8,0,0,4,4,0,0
153,185,2013,Volkswagen,Jett,8,0,0,4,4,0,0
154,74,2015,Honda,Accord,8,0,0,4,2,0,2
155,71,2008,Acura,TL,6,0,0,4,2,0,0
156,108,2013,Audi,S4,14,4,0,2,4,2,2
157,212,2001,Lexus,Is300,6,0,0,2,4,0,0
158,111,2007,Bmw,328i,10,4,0,2,0,0,4
159,94,2004,Volkswagen,Gti,10,2,0,0,6,0,2
160,64,2004,Subaru,Forester,6,0,0,0,6,0,0
161,40,2007,Subaru,Legacy,6,0,0,0,6,0,0
162,72,2016,Honda,Civic si,4,0,0,0,4,0,0
163,1,2012,Subaru,WRX,6,2,0,0,2,2,0
164,197,2010,Audi,A4,2,0,0,0,2,0,0
165,70,2014,Honda,Civic,0,0,0,0,0,0,0
166,101,2014,Honda,Civic,0,0,0,0,0,0,0
167,0,2015,Chevy,Camaro,0,0,0,0,0,0,0
