Volvo                
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
Ford                 
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
1                 , 2017              , Ford              , Focus rs          , 137               , 54                , 10                ,14                , 12                , 16                , 0                 , 2                 , 49                 
2                 , 2014              , Ford              , Focus st          , 120               , 30                , 6                 ,4                 , 6                 , 10                , 2                 , 2                 , 93                 
3                 , 2016              , Ford              , Focus rs          , 219               , 26                , 6                 ,6                 , 8                 , 4                 , 0                 , 2                 , 103                

Jeep                 
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
1                 , 2015              , Jeep              , Wrangler          , 124               , 124               , 12                ,24                , 30                , 48                , 6                 , 4                 , 2                  

Infiniti             
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
1                 , 2010              , Infiniti          , G37               , 128               , 128               , 18                ,26                , 26                , 48                , 6                 , 4                 , 1                  
2                 , 2011              , Infiniti          , M37s              , 122               , 44                , 2                 ,8                 , 6                 , 24                , 4                 , 0                 , 67                 
3                 , 2009              , Infiniti          , G37               , 20                , 38                , 6                 ,4                 , 10                , 16                , 2                 , 0                 , 78                 

Volkswagen           
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
1                 , 2010              , Volkswagen        , Eos               , 126               , 92                , 0                 ,24                , 26                , 36                , 6                 , 0                 , 14                 
2                 , 2011              , Volkswagen        , Gti               , 180               , 82                , 4                 ,16                , 26                , 30                , 4                 , 2                 , 20                 
3                 , 2014              , Volkswagen        , Gli               , 156               , 56                , 0                 ,0                 , 24                , 28                , 4                 , 0                 , 45                 

Honda                
relative_ranking  , Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
1                 , 2014              , Honda             , Accord            , 83                , 112               , 12                ,24                , 28                , 36                , 6                 , 6                 , 5                  
2                 , 2009              , Honda             , Fit               , 65                , 106               , 6                 ,26                , 22                , 42                , 6                 , 4                 , 7                  
