Ranking,Car_ID,Year,Make,Model,Total,Racer,Engine,Body_Frame,Mods,Mods_Overall,Car_Overall
76,207,1993,Honda,Civic eG,40,4,10,24,0,0,2
77,222,2015,Lexus,Is250,40,0,12,24,0,4,0
78,44,2018,Honda,Civic si,40,4,12,20,0,2,2
79,145,1990,Volkswagen,Gti,38,6,6,22,0,2,2
80,179,2004,Volkswagen,R32,38,12,14,8,0,2,2
81,18,2015,Audi,S3,38,4,2,28,0,2,2
82,20,2009,Infiniti,G37,38,6,4,26,0,2,0
83,99,2014,Honda,Civic si,38,4,6,24,0,4,0
84,162,2014,Nissan,370z,36,4,6,24,0,2,0
85,200,2016,Subaru,WRX,36,0,6,26,0,2,2
86,78,2015,Mazda,6,36,2,6,26,0,0,2
87,10,2001,Nissan,S15,34,2,6,22,0,2,2
88,17,2016,Mercedes,C43,34,6,8,18,0,2,0
89,24,2013,Subaru,BRZ,32,2,2,24,0,2,2
90,4341,1992,Nissan,Rps13,32,6,6,16,0,2,2
91,46,2008,Volkswagen,R32,32,2,8,20,0,0,2
92,11,1991,Nissan,Skyline,30,4,4,18,0,2,2
93,120,2014,Ford,Focus st,30,6,4,16,0,2,2
94,181,2003,Volkswagen,Gti,30,4,4,20,0,2,0
95,7,2014,Nissan,Sentra,30,4,2,20,0,4,0
96,92,2017,Hyundai,Elantra sport,30,2,6,22,0,0,0
97,116,2008,Audi,A4,28,0,10,12,0,4,2
98,144,2016,Volkswagen,Gti,28,0,4,22,0,2,0
99,238,1982,Volkswagen,Rabbit,28,0,2,24,0,2,0
100,59,2012,Volkswagen,Golf,28,4,8,14,0,0,2
101,114,2010,Volkswagen,Gti,26,2,4,18,0,2,0
102,14,1990,Nissan,Skyline,26,6,4,14,0,2,0
103,141,1993,Mazda,Miata,26,0,0,24,0,2,0
104,187,2007,Subaru,Legacy,26,6,4,12,0,2,2
105,219,2016,Ford,Focus rs,26,6,6,12,0,0,2
106,242,2014,Nissan,Maxima,26,0,6,18,0,2,0
107,98,2012,Mercedes,C63,26,4,6,14,0,2,0
108,130,2016,Honda,Civic si,24,2,4,18,0,0,0
109,2,2016,Bmw,M2,24,2,2,18,0,2,0
110,22,2007,Honda,Civic,24,0,2,18,0,2,2
111,241,2007,Toyota,Camry,24,0,4,18,0,2,0
112,81,2016,Volkswagen,GTI,24,4,0,18,0,0,2
113,100,2006,Volvo,S60r,22,6,8,8,0,0,0
114,150,2006,Nissan,350z,22,0,4,16,0,2,0
115,163,2013,Mitsu,Ralliart,22,4,4,12,0,2,0
116,172,2014,Bmw,4,22,4,6,6,0,0,6
117,93,2005,Acura,TL,22,2,2,16,0,0,2
118,167,2016,Ford,Mystang,20,4,4,10,0,2,0
119,182,2012,Volkswagen,Cc,20,4,2,10,0,2,2
120,230,2004,Acura,Tsx,20,0,4,14,0,2,0
121,235,2013,Scion,Frs,20,2,2,14,0,2,0
122,226,2008,Honda,Accord,18,0,0,18,0,0,0
123,34,2010,Honda,Fit,18,0,0,16,0,0,2
124,79,1993,Mazda,Miata,18,0,0,16,0,2,0
125,183,2005,Volkswagen,Jetta,16,4,4,6,0,2,0
126,89,2014,Honda,Civic si,16,2,2,10,0,2,0
127,Vip,2008,Volkswagen,Gli,16,6,4,4,0,0,2
128,108,2013,Audi,S4,14,4,0,6,0,2,2
129,159,2013,Hyundai,Gen coupe,14,2,2,10,0,0,0
130,186,2012,Volkswagen,Gli,14,0,2,6,0,0,6
131,193,2014,Nissan,Ssntra,14,0,4,8,0,2,0
132,220,2004,Audi,A4,14,0,2,10,0,2,0
133,4,2007,Honda,Civic,14,0,2,12,0,0,0
134,67,2015,Subaru,Sti,14,2,2,8,0,2,0
135,177,2005,Volkswagen,Jetta gli,12,0,4,6,0,2,0
136,76,2005,Subaru,Sti,12,4,2,4,0,0,2
137,95,2004,Infiniti,G35,12,0,0,12,0,0,0
138,102,2015,Honda,Accord,10,0,0,8,0,2,0
139,111,2007,Bmw,328i,10,4,0,2,0,4,0
140,138,1990,Mazda,Miata,10,0,4,6,0,0,0
141,16,2008,Nissan,350z,10,2,2,6,0,0,0
142,190,1995,Lexus,Sc300,10,0,0,10,0,0,0
143,237,1987,Volkswagen,Jetta,10,0,6,4,0,0,0
144,243,2008,Toyota,Matrix,10,0,0,10,0,0,0
145,68,2013,Nissan,Altima,10,0,0,8,0,2,0
146,94,2004,Volkswagen,Gti,10,2,0,6,0,2,0
147,96,2017,Volkswagen,Gti,10,2,2,4,0,2,0
148,184,2010,Volkswagen,Cc,8,0,4,4,0,0,0
149,185,2013,Volkswagen,Jett,8,0,0,8,0,0,0
150,28,1995,Bmw,318xi,8,0,0,8,0,0,0
151,42,2001,Dodge,Viper,8,0,2,4,0,0,2
152,69,2018,Subaru,WRX,8,0,0,8,0,0,0
153,74,2015,Honda,Accord,8,0,0,6,0,2,0
154,86,1996,Volkswagen,Jetta,8,0,4,4,0,0,0
155,1,2012,Subaru,WRX,6,2,0,2,0,0,2
