113,30,1
112,28,2
128,26,3
15,26,3
175,26,3
65,26,3
124,24,4
126,24,4
31,24,4
83,24,4
91,24,4
13,22,5
63,22,5
127,20,6
216,20,6
228,20,6
30,20,6
57,20,6
123,18,7
50,18,7
6,18,7
1051,16,8
180,16,8
218,16,8
25,16,8
3,16,8
36,16,8
38,16,8
84,16,8
104,14,9
106,14,9
137,14,9
179,14,9
21,14,9
37,14,9
39,14,9
41,14,9
48,14,9
103,12,10
110,12,10
12,12,10
134,12,10
178,12,10
211,12,10
222,12,10
33,12,10
35,12,10
43,12,10
44,12,10
49,12,10
115,10,11
116,10,11
140,10,11
161,10,11
189,10,11
207,10,11
23,10,11
45,10,11
51,10,11
52,10,11
53,10,11
56,10,11
88,10,11
100,8,12
122,8,12
142,8,12
153,8,12
17,8,12
46,8,12
59,8,12
9,8,12
10,6,13
145,6,13
162,6,13
172,6,13
200,6,13
219,6,13
232,6,13
237,6,13
242,6,13
4341,6,13
5,6,13
78,6,13
92,6,13
98,6,13
99,6,13
11,4,14
114,4,14
118,4,14
120,4,14
130,4,14
138,4,14
14,4,14
144,4,14
150,4,14
158,4,14
163,4,14
167,4,14
177,4,14
181,4,14
183,4,14
184,4,14
187,4,14
193,4,14
20,4,14
225,4,14
230,4,14
241,4,14
8,4,14
86,4,14
Vip,4,14
159,2,15
16,2,15
174,2,15
176,2,15
18,2,15
182,2,15
186,2,15
19,2,15
2,2,15
220,2,15
22,2,15
235,2,15
238,2,15
24,2,15
4,2,15
42,2,15
66,2,15
67,2,15
7,2,15
75,2,15
76,2,15
85,2,15
89,2,15
93,2,15
96,2,15
0,0,16
1,0,16
101,0,16
102,0,16
108,0,16
111,0,16
121,0,16
141,0,16
156,0,16
170,0,16
185,0,16
190,0,16
197,0,16
212,0,16
226,0,16
243,0,16
28,0,16
34,0,16
40,0,16
64,0,16
68,0,16
69,0,16
70,0,16
71,0,16
72,0,16
74,0,16
79,0,16
81,0,16
94,0,16
95,0,16
