124,48
128,48
15,46
112,42
113,42
65,42
161,38
91,38
103,36
126,36
13,36
83,36
228,34
50,34
63,34
158,32
178,32
216,32
225,32
106,30
180,30
31,30
127,28
156,28
170,28
175,28
35,28
1051,26
115,26
123,26
142,26
189,26
25,26
33,26
39,26
122,24
3,24
36,24
41,24
48,24
5,24
12,22
176,22
23,22
38,22
57,22
84,22
121,20
162,20
19,20
51,20
52,20
53,20
85,20
110,18
141,18
18,18
211,18
21,18
218,18
232,18
45,18
104,16
11,16
130,16
137,16
17,16
200,16
20,16
30,16
43,16
44,16
8,16
88,16
99,16
10,14
118,14
134,14
140,14
145,14
181,14
207,14
238,14
37,14
4341,14
46,14
56,14
6,14
9,14
144,12
150,12
153,12
187,12
2,12
226,12
242,12
4,12
49,12
7,12
78,12
114,10
120,10
93,10
163,8
235,8
241,8
24,8
34,8
59,8
79,8
92,8
116,6
138,6
14,6
220,6
222,6
22,6
230,6
243,6
40,6
64,6
81,6
89,6
94,6
95,6
102,4
108,4
159,4
167,4
182,4
183,4
185,4
186,4
190,4
193,4
212,4
219,4
28,4
67,4
68,4
72,4
76,4
96,4
98,4
100,2
1,2
16,2
172,2
174,2
177,2
179,2
184,2
197,2
42,2
66,2
69,2
71,2
74,2
75,2
86,2
0,0
101,0
111,0
237,0
70,0
Vip,0
