Total Car_ID Year Make Model Ranking
122 128 2010 Infiniti G37     1
118 124 2015 Jeep Wrangler     2
114 15 2014 Audi S4     3
110 113 2012 Acura Tsx sportwagon     4
106 83 2014 Honda Accord     5
104 112 2008 Acura TL     6
100 65 2009 Honda Fit     7
96 91 2010 Mitsu Lancer     8
96 50 2015 Acura TLX     9
96 31 2007 Honda Fit     10
92 216 2007 Chrystler 300     11
88 228 2010 Nissan 370     12
88 175 2006 Honda Civic     13
86 13 2016 Honda Civic 1.5t     14
86 126 2010 Volkswagen Eos     15
82 63 2010 Honda Civic     16
80 3 2011 Nissan 370     17
80 127 2013 Acura Tsx     18
78 180 2011 Volkswagen Gti     19
78 161 2012 Nissan 370z     20
76 57 2015 Scion Frs     21
74 25 2012 Mercedes C250     22
74 106 2007 Acura Tl type s     23
70 36 2016 Subaru WRX     24
68 84 2012 Mercedes Cl63amg     25
68 39 2011 Honda Civic     26
68 103 2010 Acura Tsx     27
66 178 2009 Honda Oddesy     28
64 33 2015 Subaru Sti     29
62 41 2012 Acura Tsx     30
62 38 2017 Hyundai Elantra sport     31
62 30 2012 Hyundai Celoster     32
62 123 2006 Lexus Sc430     33
62 1051 2006 Acura Tsx     34
60 218 2010 Chevy Camaro     35
58 48 2015 Acura TLX     36
58 21 2009 Subaru WRX     37
58 158 2007 Nissan 350z     38
58 12 1990 Nissan 240     39
56 53 2013 Subaru WRX     40
56 35 2016 Honda Civic     41
56 23 1998 Subaru Legacy     42
54 137 2017 Ford Focus rs     43
54 110 2011 Toyota Camry     44
52 156 2014 Volkswagen Gli     45
52 142 1993 Toyota Supra     46
52 115 2001 Honda Crv     47
50 6 2016 Volkswagen Golf r     48
50 43 2011 Toyota 4 Runner     49
50 37 2015 Subaru Sti     50
50 134 2013 Subaru WRX     51
48 51 2015 Subaru WRX     52
48 225 2016 Acura TLX     53
48 211 2004 Acura Tsx     54
48 189 2012 Toyota Fj cruiser     55
46 52 2007 Mazda Speed 3     56
46 5 2003 Acura Rsx     57
46 232 2018 Subaru WRX     58
46 170 2014 Chevy Cruze     59
46 104 2014 Honda Civic si     60
44 88 2008 Honda Accord     61
44 140 1995 Mitsu Evo8     62
40 Showcar 2014 Nissan Gtr     63
40 9 1996 Nissan 240     64
40 8 1991 Nissan Skyline     65
40 56 2009 Volkswagen Jetta     66
40 45 2006 Acura TL     67
40 207 1993 Honda Civic eG     68
40 153 2017 Subaru Brz     69
40 122 2011 Infiniti M37s     70
40 121 2012 Acura TL     71
40 118 1993 Honda Civic     72
38 85 2017 Honda Accord     73
38 49 1997 Acura Integra     74
38 44 2018 Honda Civic si     75
38 19 2001 Mitsu Evo7     76
36 78 2015 Mazda 6     77
36 222 2015 Lexus Is250     78
36 20 2009 Infiniti G37     79
36 18 2015 Audi S3     80
36 179 2004 Volkswagen R32     81
36 176 2014 Mitsu Lancer     82
36 145 1990 Volkswagen Gti     83
34 99 2014 Honda Civic si     84
34 200 2016 Subaru WRX     85
34 162 2014 Nissan 370z     86
32 46 2008 Volkswagen R32     87
32 17 2016 Mercedes C43     88
32 10 2001 Nissan S15     89
30 92 2017 Hyundai Elantra sport     90
30 4341 1992 Nissan Rps13     91
30 24 2013 Subaru BRZ     92
28 59 2012 Volkswagen Golf     93
28 181 2003 Volkswagen Gti     94
28 120 2014 Ford Focus st     95
28 11 1991 Nissan Skyline     96
26 7 2014 Nissan Sentra     97
26 238 1982 Volkswagen Rabbit     98
26 219 2016 Ford Focus rs     99
26 144 2016 Volkswagen Gti     100
24 98 2012 Mercedes C63     101
24 81 2016 Volkswagen GTI     102
24 242 2014 Nissan Maxima     103
24 187 2007 Subaru Legacy     104
24 14 1990 Nissan Skyline     105
24 141 1993 Mazda Miata     106
24 130 2016 Honda Civic si     107
24 116 2008 Audi A4     108
24 114 2010 Volkswagen Gti     109
22 93 2005 Acura TL     110
22 241 2007 Toyota Camry     111
22 22 2007 Honda Civic     112
22 2 2016 Bmw M2     113
22 172 2014 Bmw 4     114
22 100 2006 Volvo S60r     115
20 163 2013 Mitsu Ralliart     116
20 150 2006 Nissan 350z     117
18 34 2010 Honda Fit     118
18 235 2013 Scion Frs     119
18 230 2004 Acura Tsx     120
18 226 2008 Honda Accord     121
18 182 2012 Volkswagen Cc     122
18 167 2016 Ford Mystang     123
16 Vip 2008 Volkswagen Gli     124
16 79 1993 Mazda Miata     125
14 89 2014 Honda Civic si     126
14 4 2007 Honda Civic     127
14 186 2012 Volkswagen Gli     128
14 183 2005 Volkswagen Jetta     129
14 159 2013 Hyundai Gen coupe     130
12 95 2004 Infiniti G35     131
12 76 2005 Subaru Sti     132
12 67 2015 Subaru Sti     133
12 220 2004 Audi A4     134
