Total Car_ID Year Make Model Ranking
48 51 2015 Subaru WRX 11
14 183 2005 Volkswagen Jetta 12
10 177 2005 Volkswagen Jetta gli 13
46 5 2003 Acura Rsx 14
60 218 2010 Chevy Camaro 15
68 39 2011 Honda Civic 16
8 68 2013 Nissan Altima 17
32 10 2001 Nissan S15 18
12 67 2015 Subaru Sti 19
50 43 2011 Toyota 4 Runner 20
46 170 2014 Chevy Cruze 21
92 216 2007 Chrystler 300 22
34 99 2014 Honda Civic si 23
14 89 2014 Honda Civic si 24
12 95 2004 Infiniti G35 25
88 228 2010 Nissan 370 26
26 7 2014 Nissan Sentra 27
24 14 1990 Nissan Skyline 28
40 8 1991 Nissan Skyline 29
36 145 1990 Volkswagen Gti 30
8 102 2015 Honda Accord 31
70 36 2016 Subaru WRX 32
48 189 2012 Toyota Fj cruiser 33
6 111 2007 Bmw 328i 34
44 140 1995 Mitsu Evo8 35
78 161 2012 Nissan 370z 36
50 37 2015 Subaru Sti 37
10 243 2008 Toyota Matrix 38
8 184 2010 Volkswagen Cc 39
4 66 2010 Volkswagen Gti 40
0 101 2014 Honda Civic 41
58 21 2009 Subaru WRX 42
34 200 2016 Subaru WRX 43
22 2 2016 Bmw M2 44
56 23 1998 Subaru Legacy 45
28 59 2012 Volkswagen Golf 46
8 42 2001 Dodge Viper 47
106 83 2014 Honda Accord 48
10 16 2008 Nissan 350z 49
28 181 2003 Volkswagen Gti 50
0 0 2015 Chevy Camaro 51
44 88 2008 Honda Accord 52
74 25 2012 Mercedes C250 53
36 176 2014 Mitsu Lancer 54
50 134 2013 Subaru WRX 55
80 127 2013 Acura Tsx 56
46 104 2014 Honda Civic si 57
28 120 2014 Ford Focus st 58
38 85 2017 Honda Accord 59
40 Showcar 2014 Nissan Gtr 60
12 108 2013 Audi S4 61
24 98 2012 Mercedes C63 62
24 130 2016 Honda Civic si 63
58 12 1990 Nissan 240 64
46 232 2018 Subaru WRX 65
16 Vip 2008 Volkswagen Gli 66
8 96 2017 Volkswagen Gti 67
114 15 2014 Audi S4 68
100 65 2009 Honda Fit 69
30 92 2017 Hyundai Elantra sport 70
36 179 2004 Volkswagen R32 71
82 63 2010 Honda Civic 72
56 35 2016 Honda Civic 73
16 79 1993 Mazda Miata 74
30 4341 1992 Nissan Rps13 75
52 156 2014 Volkswagen Gli 76
12 220 2004 Audi A4 77
38 44 2018 Honda Civic si 78
38 19 2001 Mitsu Evo7 79
62 123 2006 Lexus Sc430 80
76 57 2015 Scion Frs 81
18 230 2004 Acura Tsx 82
64 33 2015 Subaru Sti 83
6 75 2012 Subaru WRX 84
88 175 2006 Honda Civic 85
52 115 2001 Honda Crv 86
40 153 2017 Subaru Brz 87
12 76 2005 Subaru Sti 88
40 56 2009 Volkswagen Jetta 89
96 50 2015 Acura TLX 90
20 163 2013 Mitsu Ralliart 91
56 53 2013 Subaru WRX 92
22 241 2007 Toyota Camry 93
